sample_date,facility,sampling_point,discharge_route,parameter_code,parameter_tr,value,unit,measured_flag,notes
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFUR,SÜLFÜR,0.047,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFITE,SÜLFİT,0.025,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PHENOL,FENOL,0.607,mg/L,True,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,OIL_GREASE,YAĞ GRES,,mg/L,False,
2025-01-14,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,ZN,ÇİNKO,,mg/L,False,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COD,KOI,180.0,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TSS,AKM,124.0,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PH,PH,8.48,,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,25.9,°C,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COLOR,RENK,240.3,Pt-Co,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,NH4,NH4,0.185,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CL_FREE,KLOR,,mg/L,False,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,CR_TOTAL,T KROM,,mg/L,False,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFUR,SÜLFÜR,0.051,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,SULFITE,SÜLFİT,0.01,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PHENOL,FENOL,0.604,mg/L,True,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,OIL_GREASE,YAĞ GRES,,mg/L,False,
2025-01-15,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,ZN,ÇİNKO,,mg/L,False,
2025-01-16,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,COD,KOI,230.0,mg/L,True,
2025-01-16,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TSS,AKM,135.0,mg/L,True,
2025-01-16,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,PH,PH,8.27,,True,
2025-01-16,Ekoten,Facility outlet (Ekoten Lab),IZSU sewer -> central WWTP,TEMP_C,SICAKLIK,29.1,°C,True,
